From,To ,Capacity,CU (%)
2814248,3511398,3,0.113895216
2795572,2851132,8,0.303720577
3334753,3108670,2,0.075930144
3105612,1635271,3,0.113895216
3100879,1635271,2,0.075930144
2817717,2811777,3,0.113895216
2814361,1635271,4,0.151860289
2795303,2911870,5,0.189825361
2811777,2813920,15,0.569476082
2793612,2851132,2,0.075930144
3092097,1635271,21,0.797266515
2814212,2814091,2,0.075930144
3092648,1635271,2,0.075930144
3201889,2814148,3,0.113895216
2813943,1635271,3,0.113895216
3122923,2785372,3,0.113895216
2814345,2783453,8,0.303720577
2814201,2785405,3,0.113895216
3050286,2811822,3,0.113895216
3092106,2785406,3,0.113895216
2811549,2785405,3,0.113895216
2814249,2813920,5,0.189825361
3092022,2797272,37,1.404707669
3131610,3734444,2,0.075930144
2811433,1635271,3,0.113895216
2783420,2783453,3,0.113895216
2811581,2811822,2,0.075930144
2811564,2785405,3,0.113895216
3126674,2783453,3,0.113895216
3152207,2783453,3,0.113895216
3092099,1635271,21,0.797266515
2811407,2785405,4,0.151860289
3103842,2785406,3,0.113895216
3097890,1635271,7,0.265755505
2793658,2793676,3,0.113895216
2814040,2814070,2,0.075930144
3107894,1635271,2,0.075930144
3128738,2811417,2,0.075930144
2783457,1635271,4,0.151860289
2811670,2784116,3,0.113895216
2811522,1635271,2,0.075930144
2806399,2783457,2,0.075930144
3635439,2813920,2,0.075930144
2811506,2814345,2,0.075930144
3073661,2785406,3,0.113895216
2814152,2854009,2,0.075930144
3098315,2814378,3,0.113895216
2785407,2783453,4,0.151860289
3092660,1635271,7,0.265755505
2783453,1635271,91,3.454821564
3064014,3074553,2,0.075930144
2815747,1635271,14,0.53151101
3734444,3092097,9,0.341685649
2783458,2785372,2,0.075930144
2785405,1635271,53,2.012148823
2849116,1635271,3,0.113895216
2811435,2783453,7,0.265755505
2793676,2797272,6,0.227790433
3092130,1635271,3,0.113895216
2802781,2814251,2,0.075930144
2851260,3074553,3,0.113895216
2833596,3499388,2,0.075930144
2851311,1635271,5,0.189825361
2952168,2795303,3,0.113895216
3299748,2825108,3,0.113895216
3499388,2797272,5,0.189825361
3285849,2825103,3,0.113895216
3093420,2797272,3,0.113895216
2825000,2793628,2,0.075930144
3158266,3092022,3,0.113895216
2828998,2911870,3,0.113895216
2854009,1635271,7,0.265755505
2828017,2825108,3,0.113895216
3408689,1635271,3,0.113895216
2825108,3092022,8,0.303720577
2851132,1635271,47,1.78435839
2829109,2784116,3,0.113895216
3335176,1635271,5,0.189825361
3354917,3075823,3,0.113895216
3072959,2779742,2,0.075930144
2833581,2833739,3,0.113895216
2833739,3092022,6,0.227790433
2911870,3092099,18,0.683371298
2825103,3092022,6,0.227790433
2808116,2830471,2,0.075930144
2807711,2807756,3,0.113895216
2814238,2830471,3,0.113895216
2804696,2801029,4,0.151860289
3701487,2804146,6,0.227790433
2803499,2814793,3,0.113895216
2801426,2801140,2,0.075930144
3164615,2801366,5,0.189825361
2797732,2814793,3,0.113895216
2807693,2830501,6,0.227790433
2811686,2783424,10,0.379650721
2801140,2804245,9,0.341685649
3530413,3600569,13,0.493545938
2805211,3164615,3,0.113895216
2807758,2830499,2,0.075930144
2798958,3600569,2,0.075930144
2799272,2801029,3,0.113895216
2785352,3600569,3,0.113895216
3637127,3600569,2,0.075930144
3069914,2814793,23,0.873196659
3123516,2821360,3,0.113895216
2803707,2814793,14,0.53151101
2814627,3476984,2,0.075930144
2799032,2804920,2,0.075930144
2812478,2813516,3,0.113895216
2794578,3600569,3,0.113895216
2798948,2804245,2,0.075930144
3146811,3600569,7,0.265755505
2807664,3600569,2,0.075930144
2801015,2814793,10,0.379650721
2798995,2830460,3,0.113895216
2809985,3530413,2,0.075930144
2810099,3600569,3,0.113895216
2801366,2803735,7,0.265755505
2821144,3600569,39,1.480637813
2805129,2804245,7,0.265755505
2803840,2804977,2,0.075930144
3306697,2814793,8,0.303720577
2815021,3569111,6,0.227790433
3405162,3530413,3,0.113895216
2812589,3600569,5,0.189825361
2805179,2804936,3,0.113895216
2807741,2830460,8,0.303720577
2813516,2814793,87,3.302961276
2811553,2811686,5,0.189825361
2870216,3251263,2,0.075930144
2804146,3600569,16,0.607441154
2814798,2814865,3,0.113895216
3837681,2803707,3,0.113895216
2801135,3600569,3,0.113895216
2807788,3600569,3,0.113895216
2796261,2810014,3,0.113895216
2810014,3600569,9,0.341685649
2808293,2830471,2,0.075930144
2814371,2811686,2,0.075930144
3244582,2807741,5,0.189825361
3496924,2830471,2,0.075930144
2804032,2798855,3,0.113895216
2799190,2801015,6,0.227790433
2799086,2834802,3,0.113895216
2814304,2830501,2,0.075930144
2801713,2804696,2,0.075930144
2798993,2804920,3,0.113895216
2799179,2804245,3,0.113895216
2814793,3600569,217,8.238420653
2814865,2813516,5,0.189825361
2804967,2804209,3,0.113895216
