Id,Name,Type,EnableDataSending,EnableDataPassThrough,IsAggregate,IsCollapsed,DataToSend,MaxLatency,X,Y,Latitude,Longitude,EndPt,UserData
2835183,meter_16741,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.324548,-94.772192,[1],@$MeterRead8VM|1661;
2797414,meter_8016,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.292279,-94.818276,[1],@$MeterRead8VM|1661;
2815647,meter_13764,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.301244,-94.7768,[1],@$MeterRead8NoVM|1198;
2808184,meter_10753,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.286367,-94.818039,[1],@$MeterRead8VM|1661;
2835705,meter_17229,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.31258,-94.76241,[1],@$MeterRead8VM|1661;
3563871,meter_22874,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.297337,-94.807181,[1],@$MeterRead8VM|1661;
2767906,meter_374,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.289485,-94.81464,[1],@$MeterRead8NoVM|1198;
2839419,meter_18202,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.308763,-94.780529,[1],@$MeterRead8NoVM|1198;
3160686,meter_20848,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.303996,-94.780474,[1],@$MeterRead8VM|1661;
2953830,meter_19689,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.271256,-94.829126,[1],@$MeterRead8VM|1661;
2792468,meter_5253,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.281185,-94.819759,[1],@$MeterRead8VM|1661;
2804201,meter_9329,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.265824,-94.834691,[1],@$MeterRead8NoVM|1198;
2811552,meter_12362,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.276447,-94.840603,[1],@$MeterRead8VM|1661;
2797465,meter_8054,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.289398,-94.829181,[1],@$MeterRead8VM|1661;
2793597,meter_6055,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.289688,-94.833806,[1],@$MeterRead8VM|1661;
2814023,meter_13139,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.279889,-94.838008,[1],@$MeterRead8NoVM|1198;
2785378,meter_1461,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.274967,-94.844144,[1],@$MeterRead8VM|1661;
2809588,meter_11645,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.295256,-94.788001,[1],@$MeterRead8NoVM|1198;
2897078,meter_19131,Meter3,true,true,false,false,1049,18000,0.0,0.0,29.307509,-94.79538,[1],@$MeterRead8NoVM|1049;
2830847,meter_15528,Meter2,true,true,false,false,1198,18000,0.0,0.0,29.305113,-94.790884,[1],@$MeterRead8NoVM|1198;
2790969,meter_4225,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.288309,-94.801566,[1],@$MeterRead8VM|1661;
2806736,meter_9798,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.293243,-94.789154,[1],@$MeterRead8VM|1661;
2814906,meter_13583,Meter1,true,true,false,false,1661,18000,0.0,0.0,29.271864,-94.820785,[1],@$MeterRead8VM|1661;
2774363,meter_479,Meter1,true,true,false,false,1198,18000,0.0,0.0,29.295867,-94.814302,[1],@$MeterRead8NoVM|1198;
3348058,meter_21666,Meter3,true,true,false,false,2084,18000,0.0,0.0,29.303128,-94.795892,[1],@$MeterRead8VM|2084;
